id,language,text,stars,label_text
en_0166548,en,"I purchased these to put on frozen foods and they ...

I purchased these to put on frozen foods and they stick but they curl up so that is why they didn't get 5 stars.",4,3
en_0561880,en,"Received questionable email from Amazon.com pertaining to this app.

I received an email from Amazon.com stating that if I downloaded their Amazon Underground app and signed once, that I would receive $10 if done so before Dec. 4 2017. It's Jan 11 2018. To date have not received said funds.",1,0
en_0963371,en,"So so

Not very satisfied with this product",3,2
fr_0858022,fr,"Bien étudié

Impressionnant, essaie dans une bassine = R.A.S À voir à la mer.",5,4
fr_0524797,fr,"Tasse ideale,ne coule pas

Cette tasse est tout simplement géniale. Ne coule pas, l'enfant apprend à boire directement à la tasse. Tient bien dans le temps sauf les dessins qui commencent a s'effacer avec le lave vaisselle. Vraiment contente de mon achat. Idéal comme idée cadeau également",5,4
fr_0130962,fr,"Super jolie carte du monde pour enfants

Jolies couleurs et jolis dessins. Correspond à nos attentes et à la photo. La chambre du petit est toute jolie. Facile à poser et n'abîme pas les murs.",4,3
fr_0469816,fr,"Efficace

Bon produit fait le job correctement",3,2
en_0229819,en,"Perfect size for infants

They are very cute. The only issue is they are so tiny and the screw backing takes a few tries to put on a wiggly one year old.",4,3
fr_0100212,fr,"Bon smartphone mais qui n'a duré

Très bon smartphone, qui est bien réactif et répond parfaitement à mon utilisation. Paramétrage facile, fluidité de navigation. Sensibilité téléphone et GPS parfaite. Appareil photo satisfaisant et autonomie de la batterie satisfaisante. MAIS: Autonomie de la batterie faibli au bout de 6 mois d'utilisation. 9 mois d'utilisation, mise à jour Android paralyse totalement le smartphone. L'assistance technique me propose le retour de l'appareil et son remboursement intégral que j'accepte. Très content su service consommateur Amazon, déçu par la tenue dans le temps de Lenovo, un précédent smartphone à rendu l’âme au bout de 15 mois! Je change de marque",2,1
fr_0584396,fr,"Ne marche pas

Ne marche pas vraiment. Je suis déçu. Payé cher et marche pas ni pour les souris ni pour les mouches et insectes volants",1,0
fr_0504438,fr,"Ne remplit pas ses promesses

Offert à mon père qui était super content à l'ouverture du paquet... Mais déçu à l'utilisation... Ils ne rafraîchissent pas le whisky en l'occurrence... Peut-être investir dans de la qualité aux prix de la déception.",2,1
fr_0525288,fr,"non compatible-

désolée, je viens de m’apercevoir que la boite d'origine ne correspond pas au portable. Il s'agissait d'un Sony XZ.",4,3
en_0808358,en,"Nice look to tight for women

I have small head and did not sit well, I used it because it was for custom and did not have time to change.",3,2
fr_0859087,fr,"pratique

Cette station est maniable et polyvalente, facile à monter . Elle a soulagé le dos de mon mari qui portait sa scie à chaque déplacement. Achat à recommander",4,3
en_0254119,en,"Five Stars

I make a mess but my teeth feel amazingly clean",5,4
fr_0342708,fr,"Jamais reçu

Article qui devait arriver début mai. Malgré mes emails de réclamation et maintenant de remboursement, aucune réponse. Allez en pharmacie les acheter directement ..",1,0
en_0645978,en,"Copper Plated

These hooks are only copper plated.",3,2
en_0275258,en,"Easy Reading

A nice flowing read with a predictable nature. Likable characters Good for before bed.",3,2
fr_0251714,fr,"Ont vois trop rouge...!

Les couleurs sont fausses car sa tire plus sur le rouge...! C'est dommage...!",2,1
fr_0172619,fr,"Sympa

Pour le prix c'est top. Pratique pour le sac à mains et variétés sympa. Pour un cadeau pas très adapté car il y a des fils à l intérieur qui dépassent... Mais ça reste un bon produit.",4,3
en_0142252,en,"Waste of money

Did not work. Save your money.",1,0
en_0064539,en,"Cozy-soft lightweight fall socks

Socks are like lightweight, soft and cozy. Colors are nice too. Only reason it didn’t get a 5 is that they could be a little tighter as I find myself tugging them up throughout the day. And I’m a ladies shoe size 10 medium width! If your feet are size 8.5 or under I might consider other socks.",4,3
fr_0762875,fr,"Qualité moyenne

Le rendu n'est pas aussi lisse et blanc que d'autres marques mais ça rempli sa fonction pour de jolis souvenirs.",3,2
fr_0832290,fr,"performant

Eclairage puissant installation très simple. Les commutateurs permettent un essai rapide durant l'installation. Produit à recommander pour tous les éclairages loin d'une alimentation 220v",5,4
en_0462082,en,"Not worth it

The colors are really hard and not wary to cover areas.. more like for kids",2,1
fr_0089319,fr,"a bas la chaleur...

pour ma carte d'invalidité que je ne positionne sur le pare brise que lorsque je suis en situation - surtout ne pas oublier GARE AU PV",2,1
fr_0942254,fr,"La couleur est superbe

Très belle couleur naturelle et facile à travailler",5,4
en_0500687,en,"Durable and stylish too

Plenty of storage space and compartments",5,4
fr_0967977,fr,"Bon chargeur mais pas solide

Acheté pour recharge rapide de mon Huawei, pour la charge, rien à redire. Pour la solidité il faudra repasser ! Après quelque mois, la prise Usb C s est disloqué et fin de vie du chargeur.",1,0
en_0232191,en,"Not for sensitive skin

Would be ok if my skin wasn’t so sensitive",3,2
fr_0021482,fr,"Mouais

On se demande si ce n'est pas un attrape nigaud. Ce qui est sûr, c'est que la ""mesure"" d'humidité dépend du type de terre, donc à prendre avec des pincettes. Je ne recommanderais pas.",2,1
fr_0698846,fr,"Belle protection pour nos enfants

Agréablement surpris, belle qualité, bien conçu, costaud, en plus il donne un protège écran. Une amélioration a faire sur les connectiques tels que sur la connectique du chargeur et de la carte sd qui est bloqué une fois mis la protection, mais sa reste des ameliorations , elle remplis bien son role de protection Merci",5,4
en_0367426,en,"Perfect

Used them for our wedding. Held up very nice!",4,3
fr_0750363,fr,"bien enrobé sauf protection 1.2mm au niveau decran... ca veut dire que si il tombe sur une piece de monnai, cest mort,

la coulisse et enrobage de portable est super bien, laspect finition est jolie aussi, cest juste dommage pour la protection decran est 1.2mm epais,",3,2
en_0333568,en,"HIGH QUALITY

MUCH BETTER than the Chinese version. SOLID PLATFORM; SECURE FITTING WHEELS",5,4
fr_0701283,fr,"Épais

Trop épais , il faudrait changer de pointure de chaussure",1,0
en_0214715,en,"broke the first day

metal disc in center was cheaply glued (not very good if you have a vent clip mount in your car) Ring assembly broke the off the first day. save yourself the frustration and spend a little extra money on a case with mounting disc that is either riveted or molded in the case. I'm very disappointed it this purchase. One positive note: the case did fit my phone well. but since i bought it for the mounting integration... I do not recomend",2,1
en_0105979,en,"Two Stars

Put it this way, you get what you pay for...",2,1
fr_0996160,fr,"bon produit

bon vendeur ...expédition rapide",4,3
fr_0604187,fr,"Ras

Utilisation pour mon portable",2,1
fr_0139797,fr,"parfait

super pour les enfants(petite mâchoire) tient très bien dans la bouche.",5,4
fr_0066765,fr,"Super achat

Colis arrivé à temps et tout est conforme à la description. Acheté pour mes sorties de running, pratique, facile d'utilisation,, la qualité du son est correct et il reste bien dans les oreilles, Une fois mis, il ne faut plus y toucher. L'autonomie me semble bonne - environ 8 h (séance coupée) Il reste toujours connecté et ne saute pas. Je recommande !",4,3
fr_0078924,fr,"Mauvaise qualite

Oreillettes lachent au bout d'un mois. 1 oreillette /2 continue de fonctionner. Pourtant utilisation normale & je suis tres précautionneux. A fuir!",1,0
en_0237918,en,"Great Sunglasses

These have an expensive, classy look even though they’re a bargain for the price. I wear them all the time. I live in Texas where there is just too much sun and these are wonderful and match everything.",5,4
fr_0182061,fr,"Dommage...

Les couleurs et la forme : parfait. Mais pourquoi aussi peu de choix dans les tailles ??? S/M ou L/XL c'est trop peu.",3,2
fr_0035775,fr,"réception du colis

colis livré dans les délais par contre colis devant la porte sans signature de ma part (j'aurais pu dire que je ne l'ai jamais eu) décu kit de vis déchiré dans le carton donc vis manquantes",2,1
en_0436586,en,"Socks are comfortable

I like that the socks seem to help my restless legs at night after wearing them for the day. Love the colors, they look like regular knee high socks, so no one can tell that they are compression socks. They are a little hard to put on, even when you roll them up like you do for nylons. Once you get them on past your heel then they go on pretty easy. But, I’m sure that once I wear them enough to get the technique down, it will get easier. The socks are comfortable to wear all day long!",4,3
fr_0359268,fr,"Belle surprise au départ mais petite déception ensuite

Il pourrait être superbe s'il n'y avait pas des tâches bleues à plusieurs endroits. Je ne l'ai pas renvoyé pour autant. Ca ne se voit pas tant que ça, mais quand-même ce n'est pas acceptable, alors je préfère le mentionner.",3,2
en_0961078,en,"Too many dry wipes

As others have stated, I'm finding way too many of these wipes to be dry. When half your product doesn't meet expectations, you don't get a very good review.",2,1
fr_0870700,fr,"Cabane incomplète

Jolie cabane mais il manque des raccords pour rattacher des tubes entre eux! Comment fait on??? Merci de votre retour",2,1
fr_0715633,fr,"Protection

Difficile à installer. Poussière se met entre montre et protection",3,2
fr_0176616,fr,"Odeur désagréable

Odeur très désagréable, comme une odeur de solvant. Du coup ils sont inutilisables même si les couleurs sont jolies.",1,0
fr_0220291,fr,"Mauvaise tenu

Jolie sandales... Bonne taille.... Mise 2fois à peine une heure et le talon déjà décollé vraiment déçu",2,1
fr_0015836,fr,"Satisfaite

Tout juste utilisé . Epson fait des remarques on fait ok ok ok et ça marche !",4,3
fr_0448997,fr,"blanc pas blanc

très déçus pour du blanc (il est jaune transparent ) ne surtout pas prendre pour du blanc ... maintenant j’ai un doute sur les couleur je vais surement changer de fabricant ....",1,0
en_0765200,en,"It is good for a weekend getaway

It is very big to take to the office. It is good for a weekend getaway.",3,2
fr_0322569,fr,"Produit inutilisable : Fuyez

Après utilisation et tentative de gravure à la vitesse de 1x, avec deux CD-RW différents, gravure stoppée au bout de 10 secondes. Produit à fuir absolument avec, à priori, impossibilité de retour et remboursement, puisque la politique de retour prévoit... que l'article ne soit pas ouvert et donc retourné dans l'état dans lequel il est arrivé ! Expliquez-moi comment je peux savoir à travers l'emballage que le produit est défectueux ? Bref .... Une étoile car impossibilité de noter 0.",1,0
en_0844408,en,"They are ok

Those Earbuds are great, sounds great and are in my opinion perfect for the GYM, but after a week I been having some trouble with them, sometimes one sounds much higher than the other, The micro is not very good, people say that they don't hear me so I have to speak louder.",2,1
fr_0009198,fr,"fringe saison 1

Arrivé en temps et en heure. Merci",4,3
en_0698372,en,"Great quality and we got the small which was perfect ...

Great quality and we got the small which was perfect for my husband, the color was a little lighter than expected, but he still loved it",4,3
en_0341981,en,"Opened Boxes

Probably will not order online again. The boxs came opened.",1,0
en_0261718,en,"Wear something underneath. It's a nice dress.

I like the fit and color. I have already worn it several times. you need a black full slip or camisole and half slip.",5,4
en_0007287,en,"Floaters

They float. The bag says they don’t, but they clearly do. Dusty and dirty.",1,0
fr_0460888,fr,"Conforme à la description

Parfaitement conforme à la description Câble de qualité Utilisé dans mon véhicule pour brancher le téléphone et une clé USB en même temps",5,4
en_0853851,en,"I don’t recomend

I did receive the item and it says it did arrive I don’t approve bc I wasted money on it",1,0
en_0837931,en,"I was researching 42W version earlier and placed in my ...

I was researching 42W version earlier and placed in my cart. Received a notice of price drop for Item that I had added to my cart earlier. And purchased without verifying details. Discovered my mistake upon arrival and was going to return but return shipping fee is too high. Will regrettably keep because I was at fault for not making sure I had purchased the correct item. Will not purchase Foxelli items in the future",2,1
fr_0402399,fr,"Bon produit

Bon achat, pas déçue",5,4
en_0229011,en,"Disappeared

They flew off the racquet within the first week, never to be found again. I've gone back to using rubber bands.",2,1
en_0367360,en,"Does not work for chipmunks

The baiting situation is clumsy for chipmunks, the most effective bait is bird seed and this trap is not set up for floor triggering",2,1
en_0549931,en,"Would buy again.

It is a great cable. Will the cable have issues? Only time and use will tell. Works great and feels like quality.",5,4
en_0418176,en,"Three Stars

WAS NOT IMPRESSED WITH THIS WESTERN.",3,2
fr_0146752,fr,"Un bon suivi

Malgré un premier envoi ou le bac était cassé le suivi de remplacement a été impeccable. Bon vendeur que je recommande",5,4
en_0364590,en,"Zero quality

Gives the cats hard stools and constipation will never ever never ever buy this again. I feed it to the pigeons now",1,0
fr_0389502,fr,"..

bon prix livraison rapide",5,4
