id,language,text,stars,sampling_source,target_candidate,quality,price,delivery,service
fr_0605960,fr,"Trop cher

Beaucoup de défaut de fabrications. Mais amusant . Trop cher pour ce que c'est",2,enriched,price,négatif,négatif,absent,absent
fr_0200494,fr,"Top : joli et facile à monter

Bien fini Livré avec les outils Top",5,enriched,delivery,positif,absent,positif,absent
fr_0577352,fr,"Très fin et se voit mal

Le disque se voit assez mal, sa qualité est plus que moyenne. je ne recommande pas.",2,natural,none,négatif,absent,absent,absent
fr_0649039,fr,"Pour le prix d'un escabeau en galva, un bon plan en alu

Objet pratique et esthétique. Dernières arches : il faut apprendre à s'équilibrer sans les mains, en posant les pieds de chaque côté. Mais on ne peut pas avoir compacité + garde-corps.",4,enriched,price,positif,positif,absent,absent
fr_0212831,fr,"Rasoir très pratique

J’ai un pull que j’aime bcp, mais il est couvert par des boules. Ce rasoir l’a sauvé. Il’est très facile à utiliser, chargeable donc pas besoin de piles. J’apprécie beaucoup qu’il y a une lame en plus qui est fournit. Très bonne rapport qualité prix, je le recommande",5,natural,none,positif,positif,absent,absent
fr_0119964,fr,"tres pratique

pratique avec sa petite taille",5,natural,none,positif,absent,absent,absent
en_0295305,en,"Satisfied

I received my smiling Apple Watch case a few days ago. It was easy to install and works great. I have no trouble whatsoever using the touch screen. So far very happy with the purchase.",5,enriched,delivery,positif,absent,absent,absent
fr_0816039,fr,"Parfait

Livraison plus vite que prévu, correspond parfaitement à la photo, les plumes sont douces et pas trop grand, n’obstrue en rien la visibilité.",5,natural,none,positif,absent,positif,absent
en_0347261,en,"Not worth the money. Not even $10

Yes the product is cheap but my frustration is the fact that it covers the top of the screen so if you put a screen protector on it will push against it, making it useless. Unfortunately, I did not get it in the mail fast enough for a return. Not worth the money. In the trash it goes.",1,enriched,price,négatif,négatif,absent,absent
en_0630228,en,"I am not satisfied with this product and would like to get s ...

case was not what I expected. I am not satisfied with this product and would like to get s refund. I don't like that I was sent a red case with a other items where pink.",2,natural,none,négatif,absent,absent,absent
fr_0631555,fr,"Informations produit

Commander en deux exemplaires. Reçu un seul... Verre compatible smok x-priv ce qui nous est pas très clair sur le site",1,natural,none,absent,absent,négatif,absent
fr_0672831,fr,"Vraiment minable

Article jamais recu!!! Et aucune réponse du vendeur !! Je n'aurai pas mon pull pour Noël alors que je l'ai commandé tout début décembre.",1,enriched,service,absent,absent,négatif,négatif
fr_0846381,fr,"correct mais...

le produit est conforme mais l’exécution du transfert de fichiers est très long... Produit fragile qui nécessite protection.",3,natural,none,négatif,absent,absent,absent
fr_0172613,fr,"toile impermeable

j'ai aimé la couleur et l' aspect du tissu mais pas assez d'attaches intérieures pour la fixation serge bon produit",4,natural,none,négatif,absent,absent,absent
en_0854610,en,"Two Stars

Ordered normal size but these run large had trouble keeping the up.",2,natural,none,négatif,absent,absent,absent
fr_0663863,fr,"je viens juste de le recevoir

Pas encore essayé : je ne manquerai pas de donner mon avis ultérieurement",3,natural,none,neutre,absent,absent,absent
fr_0250899,fr,"commande incomplète

J'ai commandé deux coques vierges et il m'a été livré UNE seule coque vierge et une clef complète qui est inutilisable!!!",1,enriched,delivery,absent,absent,négatif,absent
en_0870917,en,"Worst product I have purchased from Amazon.

Everyone was correct when they said this item stinks. It immediately began to lose its charge. Even when I was not using a plug in headphone, it was dying within 15 minutes. I then submitted for a refund or replacement after Amazon claimed they were fixing these products. Now they have canceled my replacement and will not let me return for a refund since it is past due.",1,enriched,service,négatif,absent,absent,négatif
fr_0791703,fr,"Support ordinateur

Bonne hauteur, bonne inclinaison mais malheureusement les supports gênent pour écrire sur le clavier. Un petit peu cher aussi. Dommage !",2,enriched,price,négatif,négatif,absent,absent
en_0981877,en,"Terrible product do not buy-Zero stars

After washing with accompanying shampoo my healthy hair felt like straw. I had to apply almost a third of the bottle of conditioner to even feel like there was any conditioner in my hair. It did not work and my previously very healthy hair was now damaged and needed some serious repair treatment. To top it off, I was denied a refund.",1,enriched,service,négatif,absent,absent,négatif
fr_0541034,fr,"Bon rendu

Pour dressing. bon rendu. A voir dans le temps",4,natural,none,positif,absent,absent,absent
fr_0613617,fr,"adhesif

je mais une étoile zéro serait plus juste pour cette achat passer votre chemin sa ne tient pas",1,natural,none,négatif,absent,absent,absent
en_0160320,en,"I couldn't find a comfortable combination to make these fit my ears

I couldn't find a comfortable combination to make these fit my ears. Fell out with a head turn. Never even listened to music through them, so I cannot comment on sound quality. UPDATE: I have to thank Patozon Customer Service, who reached out to me and offered (free of charge!) a different style that fit very well! Great customer service!",3,enriched,service,négatif,absent,absent,positif
fr_0269983,fr,"Recevoir !

J aimerais donner mon avis mais je n est pas reçu le colis !",1,enriched,delivery,absent,absent,négatif,absent
fr_0261942,fr,"Pas livré

Jamais reçu cependant pour s'excuser amazon m'offre 1 mois de plus sur mon abo prime.",1,natural,none,absent,absent,négatif,positif
en_0339362,en,"Excellent product.. Five stars

Product was high quality and exactly as described. Would definitely buy from this seller again. Excellent ship time.",4,enriched,service,positif,absent,positif,positif
en_0858547,en,"painful!

This products sucks made me bleed and leaves it very patchy and super irritated. Would not recommend this! It does leave your skin soft though and the irritation is gone by the next day but definitely not worth the pain",1,natural,none,négatif,absent,absent,absent
