id;language;review_full;aspect_manuel;sentiment_manuel
fr_0133219;fr;"Arnaque

Je ne l’ai est jamais reçu je les ai contacter il m’ont dit d’ici 10 jours 2 fois je n’ai jamais reçu";Service;0
fr_0859022;fr;"Vérin abîmer et chaise rayer endommagés

Bonjour premièrement j'ai réceptionné la chaise aujourd'hui carton pas trop abîmé cella été déjà un bon point je déballe le colie je regarde les pièces je m'aperçois que un bout du vérin de la chaise est cassé déjà ça ma refroidit suite à sa j'ai commencer à la monté et a la fin du montage je m'assoie déçus le confort n'est pas à craché dessus mais j'entends des grincement et par dessus ça les roulettes en plastique qui ne roule pas sur le lino ce n'est pas top à voir la qualité dans le temps mes j'ai un peux peur";Qualité;0
fr_0018643;fr;"C’est bien

C’est très bien mon fils l’adore .";Qualité;2
fr_0168513;fr;"bien

produit conforme, livré 2j avant mais une planche fendue";Livraison;2
fr_0890499;fr;"Etagère d'angle

Pose facile et seule solution dans une salle de bain dont les murs ne permettent pas la pose d' étagères à ventouse. Elle est composée de suffisamment de compartiments pour accueillir tous mes produits sans prendre une place démesurée. Bref, un produit qui tient ses promesses.";Qualité;2
fr_0221647;fr;"Deception meme pour ce prix

Au bout de 10 minutes s'essaie, le bilan : _un son très présent en bluetooth (pas sifflement mais plutôt un souffle constant) ce qui le rend quasi inutilisable dans cette configuration. _son de l'enceinte bof bof mais disons raccord avec son prix (environ 20 euros), en tout cas pas à la hauteur des promesses du vendeur ;) _câble jack défectueux des le déballage (faux contact au niveau du connecteur notamment) alors quand en plus le bluetooth est po top ben c pas la joie _sinon le design est pas mal et conforme à la photo du site. Bref je renvoie, je préfère mettre 20 euros de plus et soulager mes oreilles";Prix;0
fr_0840815;fr;"Bien mais se détériore très vite

Alors parfait mais très petit et s'abîme assez vite. Après je pense que vu le prix c'est un peu normal du coup c'est un truc à Adopte selon moi mais qui t'a adopté ce genre d'accessoires ménager autant investir dans un truc un peu plus résistant";Prix;2
fr_0629553;fr;"Pas très bien protégé pour l envoie et donc la décoration était toute décoller

Décoration sur le thème de la mer pour un mariage";Livraison;0
fr_0166488;fr;"Bon produit

Bon produit mais le réglage peut s'avérer juste pour les plus grands gabarits";Qualité;1
fr_0466842;fr;"Déçu

Déçu du contenu de ce livre. Si vous avez du temps et l'envie de passer ce temps avec des post it sur la tête, foncez!";Qualité;0
fr_0790404;fr;"palet

très mauvais conditionnement, le couvercle de la boite n'a pas supporté le transport";Livraison;0
fr_0892954;fr;"livré en mauvais état

le produit est conforme à l'annonce mais à subit des dommages durant le transport, l'emballage de l'expéditeur était je pense suffisant mais les conditions de transports n'ont pas été optimum et le colis est arrivé endommagé. Je n'ai pas réceptionné cette commande moi même sinon quoi je l'aurai faite retourné... bref le poster est inutilisable...";Livraison;0
fr_0182453;fr;"pas de livraison

l'ouvrage devait arriver le 21 et je ne l'ai pas reçu... aucune info ou explication";Livraison;0
fr_0961794;fr;"Bien mais manque un élément...

Coffret bien sympatique mais il manque le double fond au chapeau... comment faut il fairr pour le recevoir ? Merci";Service;0
fr_0211925;fr;"pas pour chien ""poilu""

collier efficace sur certains chiens mais pas pour le mien, un spitz nain. Trop de poils empêche ce collier à ""contacter la peau"".";Qualité;1
fr_0127261;fr;"Très bon rapport qualité / prix

Très bonne carte micro SD";Qualité;2
